FIN_COA_CD,ACCOUNT_NBR,SUB_ACCT_NBR,ACTIVE
IT,1218002,84020,Y
IT,1218002,84030,Y
IT,1218002,84040,Y
IT,1218002,84050,Y
IT,1218002,84060,Y
IT,1218002,84100,Y
IT,1218002,84110,Y
IT,1218002,84120,Y
IT,1218002,84130,Y
IT,1218002,84140,Y
IT,1218002,84150,Y
IT,1218002,84160,Y
IT,1218002,84170,Y
IT,1213110,86330,Y
IT,1213110,86400,Y
IT,1213110,86410,Y
IT,1213110,86420,Y
IT,1213110,86500,Y
IT,1213110,86510,Y
IT,1213110,86520,Y
IT,1213110,86550,Y
IT,1213110,86650,Y
IT,1213110,86660,Y
IT,1213110,86670,Y
IT,1213110,86700,Y
IT,1213110,86940,Y
IT,1213110,87010,Y
IT,1213110,87020,Y
IT,1213110,87080,Y
IT,1213110,87100,Y
IT,1213110,87110,Y
IT,1213110,87120,Y
IT,1213110,87130,Y
IT,1213110,87140,Y
IT,1213110,87150,Y
IT,1213110,87170,Y
IT,1213110,87300,Y
IT,1213110,87350,Y
IT,1213110,87400,Y
IT,1213110,87440,Y
IT,1213110,87500,Y
IT,1213110,87510,Y
IT,1213110,87520,Y
IT,1213110,87620,Y
IT,1213110,87650,Y
IT,1213110,87670,Y
IT,1213110,99100,Y
IT,1213110,99200,Y
IT,1213116,83200,Y
IT,1213116,83210,Y
IT,1213116,84220,Y
IT,1213125,908,Y
IT,1213125,83250,Y
IT,1213125,83340,Y
IT,1213125,84250,Y
IT,1213138,908,Y
IT,1213139,863,Y
IT,1213258,81000,Y
IT,1213258,81010,Y
IT,1213258,81020,Y
IT,1213258,81200,Y
IT,1213258,81210,Y
IT,1213258,81220,Y
IT,1213258,81230,Y
IT,1213258,82000,Y
IT,1213258,82010,Y
IT,1213258,82100,Y
IT,1213258,82200,Y
IT,1213258,82210,Y
IT,1213258,82220,Y
IT,1213258,82300,Y
IT,1213258,82400,Y
IT,1213258,82410,Y
IT,1213258,82500,Y
IT,1213258,82600,Y
IT,1213258,83020,Y
IT,1213258,83040,Y
IT,1213258,83200,Y
IT,1213258,83210,Y
IT,1213258,83220,Y
IT,1213258,83230,Y
IT,1213258,83240,Y
IT,1213258,83250,Y
IT,1213258,83260,Y
IT,1213258,83270,Y
IT,1213258,83280,Y
IT,1213258,83290,Y
IT,1213258,83300,Y
IT,1213258,83310,Y
IT,1213258,83330,Y
IT,1213258,83340,Y
IT,1213258,83350,Y
IT,1213258,83360,Y
IT,1213258,83370,Y
IT,1213258,83380,Y
IT,1213258,83400,Y
IT,1213258,83420,Y
IT,1213258,83440,Y
IT,1213258,83460,Y
IT,1213258,83470,Y
IT,1213258,84010,Y
IT,1213258,84020,Y
IT,1213258,84030,Y
IT,1213258,84040,Y
IT,1213258,84050,Y
IT,1213258,84060,Y
IT,1213258,84100,Y
IT,1213258,84110,Y
IT,1213258,84120,Y
IT,1213258,84130,Y
IT,1213258,84140,Y
IT,1213258,84150,Y
IT,1213258,84160,Y
IT,1213258,84170,Y
IT,1213258,84180,Y
IT,1213258,84190,Y
IT,1213258,84200,Y
IT,1213258,84210,Y
IT,1213258,84220,Y
IT,1213258,84230,Y
IT,1213258,84240,Y
IT,1213258,84250,Y
IT,1213258,84260,Y
IT,1213258,84270,Y
IT,1213258,84280,Y
IT,1213258,84290,Y
IT,1213258,84300,Y
IT,1213258,84310,Y
IT,1213258,84320,Y
IT,1213258,84330,Y
IT,1213258,84350,Y
IT,1213258,84360,Y
IT,1213258,84370,Y
IT,1213258,84400,Y
IT,1213258,84420,Y
IT,1213258,84430,Y
IT,1213258,84440,Y
IT,1213258,84450,Y
IT,1213258,84460,Y
IT,1213258,84470,Y
IT,1213258,84480,Y
IT,1213258,84490,Y
IT,1213258,84500,Y
IT,1213258,84510,Y
IT,1213258,84520,Y
IT,1213258,84530,Y
IT,1213258,84540,Y
IT,1213258,84550,Y
IT,1213258,84570,Y
IT,1213258,84620,Y
IT,1213258,84640,Y
IT,1213258,84650,Y
IT,1213258,84660,Y
IT,1213258,84940,Y
IT,1213258,85310,Y
IT,1213258,85420,Y
IT,1213258,85440,Y
IT,1213258,85490,Y
IT,1213258,85510,Y
IT,1213306,855,Y
IT,1213306,857,Y
IT,1213306,858,Y
IT,1213306,859,Y
IT,1213306,902,Y
IT,1213348,894,Y
IT,1213349,877,Y
IT,1213375,831,Y
IT,1213380,908,Y
IT,1213380,83250,Y
IT,1213380,83340,Y
IT,1213380,84250,Y
IT,1213390,802,Y
IT,1213390,830,Y
IT,1213390,837,Y
IT,1213390,849,Y
IT,1213390,958,Y
IT,1218107,83270,Y
IT,1218107,83280,Y
IT,1218107,83290,Y
IT,1218107,83300,Y
IT,1218107,83310,Y
IT,1218107,83330,Y
IT,1218107,83340,Y
IT,1218107,83350,Y
IT,1218107,83360,Y
IT,1218107,83370,Y
IT,1218107,83380,Y
IT,1218107,83400,Y
IT,1218107,83420,Y
IT,1218107,83440,Y
IT,1218107,83460,Y
IT,1218107,83470,Y
IT,1218107,84010,Y
IT,1218107,84020,Y
IT,1218107,84030,Y
IT,1218107,84040,Y
IT,1218107,84050,Y
IT,1218107,84060,Y
IT,1218107,84100,Y
IT,1218107,84110,Y
IT,1218107,84120,Y
IT,1218107,84130,Y
IT,1218107,84140,Y
IT,1218107,84150,Y
IT,1218107,84160,Y
IT,1218107,84170,Y
IT,1218107,84180,Y
IT,1218107,84190,Y
IT,1218107,84200,Y
IT,1218107,84210,Y
IT,1218107,84220,Y
IT,1218107,84230,Y
IT,1218107,84240,Y
IT,1218107,84250,Y
IT,1218107,84260,Y
IT,1218107,84270,Y
